Sensor,Sensor X_Length,Sensor Y_Length,Cut_Line_Width,Pillar Diameter,Pillar Grid Spacing,Pillar Clearance,Through Line Type,Through Line Width,Through Line Turn_Radius,Through Line Gap,Through Line Edge_Offset,
1,18000,18000,10,75,400,24,L,395,500,0,800,
2,18000,18000,10,75,400,24,L,395,500,0,800,
3,18000,18000,10,75,400,24,L,395,500,0,800,
4,18000,18000,10,75,400,24,L,395,500,0,800,
5,18000,18000,10,75,400,24,L,395,500,0,800,
6,18000,18000,10,75,400,24,L,395,500,0,800,
7,18000,18000,10,75,400,24,L,395,500,0,800,
8,18000,18000,10,75,400,24,L,395,500,0,800,
9,18000,18000,10,75,400,24,L,395,500,0,800,
10,18000,18000,10,75,400,24,L,395,500,0,800,
11,18000,18000,10,75,400,24,L,395,500,0,800,
12,18000,18000,10,75,400,24,L,395,500,0,800,
13,18000,18000,10,75,400,24,L,395,500,0,800,
14,18000,18000,10,75,400,24,L,395,500,0,800,
15,18000,18000,10,75,400,24,L,395,500,0,800,
16,18000,18000,10,75,400,24,L,395,500,0,800
